id,age,gender,size,breed
35018659,Young,Female,Medium,Applehead Siamese
35007392,Baby,Male,Medium,Applehead Siamese
32870492,Baby,Male,Medium,Applehead Siamese
32869258,Young,Male,Medium,Applehead Siamese
32774226,Young,Male,Small,Applehead Siamese
32632446,Adult,Female,Medium,Applehead Siamese
30976736,Young,Female,Medium,Applehead Siamese
30932303,Young,Male,Large,Applehead Siamese
30804173,Adult,Male,Medium,Applehead Siamese
30325897,Adult,Male,Medium,Applehead Siamese
30218493,Adult,Female,Medium,Applehead Siamese
30093622,Adult,Female,Small,Applehead Siamese
29983912,Baby,Male,Medium,Applehead Siamese
29618676,Adult,Male,Large,Applehead Siamese
29089256,Adult,Female,Medium,Applehead Siamese
29022789,Adult,Male,Large,Applehead Siamese
29022755,Adult,Female,Medium,Applehead Siamese
29016716,Senior,Female,Small,Applehead Siamese
29003651,Young,Female,Small,Applehead Siamese
28767249,Adult,Male,Medium,Applehead Siamese
28411136,Young,Female,Large,Applehead Siamese
28409611,Young,Female,Medium,Applehead Siamese
28270656,Young,Female,Medium,Applehead Siamese
27606882,Senior,Female,Extra Large,Applehead Siamese
27465020,Senior,Male,Large,Applehead Siamese
27293319,Baby,Male,Medium,Applehead Siamese
26746712,Adult,Male,Extra Large,Applehead Siamese
26416357,Adult,Female,Medium,Applehead Siamese
26409350,Senior,Male,Medium,Applehead Siamese
26231780,Adult,Female,Medium,Applehead Siamese
26071318,Young,Female,Medium,Applehead Siamese
25729333,Adult,Male,Extra Large,Applehead Siamese
25725992,Adult,Female,Medium,Applehead Siamese
25683756,Young,Female,Small,Applehead Siamese
25495270,Young,Male,Medium,Applehead Siamese
25125974,Adult,Female,Medium,Applehead Siamese
25016301,Adult,Male,Medium,Applehead Siamese
24782751,Adult,Male,Large,Applehead Siamese
24609648,Young,Male,Medium,Applehead Siamese
24469262,Young,Male,Medium,Applehead Siamese
24024282,Young,Female,Small,Applehead Siamese
23833945,Adult,Male,Medium,Applehead Siamese
23682716,Young,Male,Large,Applehead Siamese
46713570,Adult,Male,Large,Balinese
46611606,Young,Female,Medium,Balinese
46611363,Baby,Female,Small,Balinese
46518706,Adult,Female,Large,Balinese
46233980,Adult,Male,Medium,Balinese
45973529,Adult,Male,Small,Balinese
45941532,Young,Male,Medium,Balinese
45644750,Young,Male,Medium,Balinese
45482386,Baby,Female,Medium,Balinese
45205139,Adult,Male,Medium,Balinese
45193339,Baby,Female,Small,Balinese
45004927,Young,Female,Medium,Balinese
44846778,Adult,Male,Medium,Balinese
44846747,Baby,Female,Medium,Balinese
44718373,Baby,Female,Medium,Balinese
44606273,Adult,Female,Medium,Balinese
44568564,Adult,Male,Medium,Balinese
43855421,Young,Female,Medium,Balinese
43827117,Baby,Female,Medium,Balinese
43693393,Young,Male,Medium,Balinese
43671662,Adult,Male,Medium,Balinese
43545729,Adult,Male,Extra Large,Balinese
43318188,Young,Female,Medium,Balinese
43064974,Young,Female,Medium,Balinese
43010841,Adult,Male,Medium,Balinese
42607137,Adult,Male,Large,Balinese
42496862,Young,Female,Small,Balinese
42475691,Adult,Male,Large,Balinese
42438238,Adult,Female,Medium,Balinese
42428016,Adult,Male,Small,Balinese
42260389,Senior,Female,Medium,Balinese
41686611,Baby,Female,Medium,Balinese
41430491,Adult,Female,Medium,Balinese
41412219,Adult,Female,Medium,Balinese
41380711,Young,Male,Large,Balinese
41380683,Young,Male,Large,Balinese
41206865,Young,Female,Medium,Balinese
41088516,Baby,Male,Medium,Balinese
40982230,Adult,Female,Small,Balinese
40941931,Adult,Male,Small,Balinese
40875323,Young,Male,Extra Large,Balinese
40875321,Young,Female,Extra Large,Balinese
40783101,Adult,Male,Medium,Balinese
39934731,Young,Male,Large,Balinese
39893863,Adult,Male,Large,Balinese
39851493,Baby,Male,Medium,Balinese
39533500,Adult,Male,Medium,Balinese
39332828,Adult,Male,Large,Balinese
39066842,Young,Female,Medium,Balinese
38803063,Young,Male,Medium,Balinese
38745704,Senior,Female,Large,Balinese
38144411,Young,Male,Small,Balinese
38134479,Baby,Male,Large,Balinese
38121226,Baby,Female,Medium,Balinese
38019559,Young,Male,Medium,Balinese
37970252,Adult,Female,Large,Balinese
37652442,Adult,Female,Medium,Balinese
37652421,Adult,Female,Medium,Balinese
37652398,Adult,Male,Medium,Balinese
37574783,Adult,Male,Medium,Balinese
37412812,Adult,Male,Medium,Balinese
37345790,Young,Female,Medium,Balinese
37167654,Baby,Male,Medium,Balinese
37126902,Adult,Male,Medium,Balinese
36832161,Adult,Female,Medium,Balinese
36823252,Baby,Female,Medium,Balinese
36823225,Baby,Male,Medium,Balinese
36682441,Adult,Male,Medium,Balinese
36587498,Senior,Male,Large,Balinese
36019551,Young,Female,Medium,Balinese
35827352,Adult,Male,Medium,Balinese
35608311,Adult,Female,Medium,Balinese
35551923,Baby,Female,Medium,Balinese
35479099,Young,Female,Medium,Balinese
35437138,Baby,Male,Medium,Balinese
35436967,Baby,Male,Medium,Balinese
35436940,Baby,Male,Medium,Balinese
35420880,Adult,Female,Medium,Balinese
46735652,Adult,Male,Large,Bengal
46732963,Adult,Female,Medium,Bengal
46732832,Adult,Female,Medium,Bengal
46732786,Adult,Female,Medium,Bengal
46720113,Adult,Female,Medium,Bengal
46693302,Senior,Female,Small,Bengal
46678869,Young,Female,Medium,Bengal
46672109,Adult,Female,Medium,Bengal
46647400,Baby,Female,Medium,Bengal
46647126,Baby,Male,Medium,Bengal
46647059,Baby,Male,Medium,Bengal
46647021,Baby,Female,Medium,Bengal
46646793,Baby,Male,Medium,Bengal
46646404,Baby,Male,Medium,Bengal
46646395,Young,Female,Medium,Bengal
46646255,Baby,Female,Medium,Bengal
46645463,Baby,Female,Medium,Bengal
46644564,Young,Male,Small,Bengal
46626748,Baby,Male,Small,Bengal
46626709,Baby,Female,Medium,Bengal
46618136,Adult,Female,Small,Bengal
46614548,Baby,Female,Medium,Bengal
46586006,Baby,Male,Medium,Bengal
46584180,Young,Male,Large,Bengal
46579527,Senior,Female,Large,Bengal
46564749,Young,Male,Medium,Bengal
46519559,Adult,Male,Small,Bengal
46507106,Baby,Female,Medium,Bengal
46494370,Young,Female,Small,Bengal
46494194,Senior,Female,Small,Bengal
46431920,Young,Female,Medium,Bengal
46414974,Adult,Male,Large,Bengal
46406031,Adult,Male,Medium,Bengal
46405362,Adult,Female,Medium,Bengal
46399959,Young,Female,Small,Bengal
46391455,Adult,Female,Small,Bengal
46365970,Young,Male,Medium,Bengal
46356755,Baby,Male,Small,Bengal
46356757,Baby,Male,Small,Bengal
46356756,Baby,Male,Small,Bengal
46333202,Adult,Male,Medium,Bengal
46324378,Adult,Male,Medium,Bengal
46323689,Adult,Female,Medium,Bengal
46305810,Adult,Female,Medium,Bengal
46302517,Senior,Female,Medium,Bengal
46297443,Baby,Male,Medium,Bengal
46297439,Baby,Female,Medium,Bengal
46297399,Baby,Male,Medium,Bengal
46283512,Adult,Male,Large,Bengal
46254130,Young,Male,Medium,Bengal
46241860,Young,Female,Large,Bengal
46234093,Young,Female,Medium,Bengal
46213603,Young,Female,Medium,Bengal
46211629,Baby,Male,Medium,Bengal
46202055,Young,Female,Medium,Bengal
46100775,Baby,Male,Medium,Bengal
46093843,Adult,Female,Medium,Bengal
46073619,Baby,Male,Medium,Bengal
46067756,Adult,Male,Medium,Bengal
46066674,Adult,Female,Medium,Bengal
46064632,Senior,Male,Medium,Bengal
46055597,Adult,Female,Medium,Bengal
46040492,Senior,Male,Small,Bengal
46031664,Senior,Male,Medium,Bengal
46025848,Adult,Female,Large,Bengal
46022076,Young,Male,Medium,Bengal
46004922,Adult,Male,Medium,Bengal
46003646,Young,Female,Medium,Bengal
46002054,Young,Female,Medium,Bengal
46001751,Baby,Male,Medium,Bengal
46001536,Baby,Male,Medium,Bengal
45997632,Baby,Male,Medium,Bengal
45996855,Young,Female,Medium,Bengal
45995014,Adult,Female,Medium,Bengal
45996112,Baby,Male,Medium,Bengal
45994466,Young,Female,Medium,Bengal
45993286,Baby,Female,Medium,Bengal
45993063,Baby,Male,Medium,Bengal
45991719,Baby,Female,Medium,Bengal
46667673,Baby,Male,Medium,Birman
46275766,Adult,Male,Medium,Birman
46130672,Baby,Male,Medium,Birman
46069993,Senior,Female,Medium,Birman
44869175,Adult,Male,Medium,Birman
44607071,Adult,Male,Small,Birman
44387149,Adult,Female,Small,Birman
44318503,Senior,Female,Large,Birman
43833964,Senior,Female,Medium,Birman
43833951,Senior,Male,Medium,Birman
43672030,Senior,Male,Extra Large,Birman
43203604,Adult,Female,Medium,Birman
42992423,Adult,Female,Small,Birman
42813052,Adult,Male,Small,Birman
42280310,Senior,Male,Large,Birman
42260945,Adult,Male,Medium,Birman
42080584,Adult,Male,Large,Birman
40643206,Adult,Female,Large,Birman
40119014,Adult,Male,Medium,Birman
39863370,Senior,Female,Small,Birman
39702947,Baby,Male,Small,Birman
39702897,Adult,Female,Small,Birman
39371950,Senior,Male,Medium,Birman
39358991,Adult,Male,Small,Birman
39358985,Adult,Female,Small,Birman
39307470,Adult,Female,Medium,Birman
39202354,Adult,Male,Large,Birman
39114031,Adult,Female,Medium,Birman
39113959,Adult,Female,Medium,Birman
38834731,Young,Male,Large,Birman
38833586,Adult,Male,Large,Birman
38817370,Adult,Male,Medium,Birman
38802373,Senior,Female,Small,Birman
38697975,Adult,Female,Large,Birman
38174207,Senior,Female,Small,Birman
38168503,Adult,Female,Large,Birman
38168474,Adult,Female,Large,Birman
38109137,Adult,Female,Small,Birman
37816759,Adult,Male,Medium,Birman
37321002,Adult,Male,Medium,Birman
37201694,Adult,Male,Medium,Birman
37075628,Adult,Male,Medium,Birman
36930083,Adult,Female,Medium,Birman
36709609,Young,Female,Medium,Birman
36482005,Senior,Female,Small,Birman
36269908,Young,Male,Medium,Birman
36152412,Adult,Male,Large,Birman
36004214,Baby,Male,Medium,Birman
35850157,Adult,Male,Large,Birman
35672370,Adult,Female,Large,Birman
35442487,Baby,Male,Medium,Birman
35442482,Baby,Female,Medium,Birman
35442467,Young,Female,Medium,Birman
35224056,Adult,Male,Large,Birman
35049729,Young,Male,Medium,Birman
35006821,Adult,Male,Medium,Birman
34945387,Adult,Male,Medium,Birman
34803496,Adult,Female,Medium,Birman
34397653,Adult,Male,Large,Birman
34155936,Adult,Male,Medium,Birman
33986550,Adult,Male,Large,Birman
33734114,Senior,Female,Small,Birman
33500775,Young,Male,Medium,Birman
33029633,Adult,Female,Medium,Birman
32972523,Baby,Male,Medium,Birman
32972472,Baby,Male,Medium,Birman
32972451,Baby,Male,Medium,Birman
32972438,Baby,Female,Medium,Birman
32843430,Adult,Male,Large,Birman
32843417,Adult,Male,Large,Birman
32795009,Adult,Female,Large,Birman
32548064,Adult,Female,Medium,Birman
32484650,Adult,Female,Medium,Birman
46749057,Baby,Male,Medium,Bombay
46748774,Baby,Female,Medium,Bombay
46748733,Baby,Female,Medium,Bombay
46732469,Adult,Female,Large,Bombay
46709293,Baby,Female,Small,Bombay
46684531,Adult,Female,Large,Bombay
46680358,Adult,Female,Medium,Bombay
46672330,Young,Male,Medium,Bombay
46669188,Young,Female,Medium,Bombay
46652416,Baby,Male,Small,Bombay
46647117,Baby,Female,Medium,Bombay
46645240,Baby,Male,Medium,Bombay
46637428,Baby,Female,Small,Bombay
46635625,Young,Female,Medium,Bombay
46634860,Baby,Female,Medium,Bombay
46615693,Baby,Female,Small,Bombay
46601974,Baby,Male,Medium,Bombay
46601849,Baby,Female,Small,Bombay
46594128,Young,Male,Medium,Bombay
46576687,Adult,Female,Medium,Bombay
46559713,Young,Female,Medium,Bombay
46559328,Young,Male,Medium,Bombay
46553511,Baby,Male,Medium,Bombay
46534154,Adult,Female,Medium,Bombay
46525913,Young,Male,Medium,Bombay
46524143,Young,Male,Large,Bombay
46524130,Young,Male,Large,Bombay
46512733,Baby,Female,Small,Bombay
46493870,Baby,Female,Medium,Bombay
46491953,Adult,Female,Medium,Bombay
46484248,Senior,Male,Large,Bombay
46471798,Baby,Female,Medium,Bombay
46463142,Young,Female,Medium,Bombay
46452447,Adult,Male,Medium,Bombay
46433377,Baby,Male,Medium,Bombay
46404629,Baby,Male,Medium,Bombay
46394452,Young,Male,Medium,Bombay
46393516,Baby,Male,Medium,Bombay
46384644,Young,Female,Medium,Bombay
46384616,Young,Female,Medium,Bombay
46376832,Baby,Male,Large,Bombay
46373353,Baby,Female,Medium,Bombay
46363574,Baby,Female,Medium,Bombay
46358965,Adult,Female,Medium,Bombay
46299503,Baby,Male,Medium,Bombay
46297449,Baby,Male,Medium,Bombay
46270547,Baby,Female,Medium,Bombay
46268695,Adult,Male,Medium,Bombay
46218794,Baby,Male,Medium,Bombay
46235763,Young,Male,Medium,Bombay
46231082,Baby,Female,Medium,Bombay
